POSTAL_CODE,,CITY,PROVINCE_ABBR,TIME_ZONE,LATITUDE,LONGITUDE
M1B,0B7,SCARBOROUGH,ON,5,43.8066863,-79.1943534
M1C,0A3,SCARBOROUGH,ON,5,43.7857399,-79.1564549
M1E,0B1,SCARBOROUGH,ON,5,43.7635726,-79.1887115
M1G,1B7,SCARBOROUGH,ON,5,43.755241,-79.221126
M1H,0A8,SCARBOROUGH,ON,5,43.770981,-79.238007
M1J,0A8,SCARBOROUGH,ON,5,43.740852,-79.238945
M1K,1A4,SCARBOROUGH,ON,5,43.7057478,-79.2634449
M1L,0A4,SCARBOROUGH,ON,5,43.7111117,-79.2845772
M1M,0A2,SCARBOROUGH,ON,5,43.722311,-79.228249
M1N,0A3,SCARBOROUGH,ON,5,43.677268,-79.2799559
M1P,0C8,SCARBOROUGH,ON,5,43.766054,-79.274831
M1R,0A9,SCARBOROUGH,ON,5,43.7736449,-79.2713662
M1S,0B3,SCARBOROUGH,ON,5,43.794194,-79.265547
M1T,0B6,SCARBOROUGH,ON,5,43.7936554,-79.2398108
M1V,0B1,SCARBOROUGH,ON,5,43.819173,-79.281752
M1W,0A1,SCARBOROUGH,ON,5,43.800983,-79.319534
M1X,0A4,SCARBOROUGH,ON,5,43.8361247,-79.2056361
M2H,0A5,NORTH YORK,ON,5,43.801874,-79.344606
M2J,0A9,NORTH YORK,ON,5,43.7785175,-79.3465557
M2K,0C2,NORTH YORK,ON,5,43.777037,-79.383405
M2L,0A3,NORTH YORK,ON,5,43.7469396,-79.3839458
M2M,0A2,NORTH YORK,ON,5,43.864694,-79.450265
M2N,0A7,NORTH YORK,ON,5,43.767981,-79.41266
M2P,1B6,NORTH YORK,ON,5,43.744341,-79.402699
M2R,1A5,NORTH YORK,ON,5,43.764586,-79.4372085
M3A,0A1,NORTH YORK,ON,5,43.752554,-79.331891
M3B,0A4,NORTH YORK,ON,5,43.7459058,-79.352188
M3C,0C4,NORTH YORK,ON,5,43.712206,-79.323763
