POSTAL_CODE,LATITUDE,LONGITUDE
M1B,43.8066863,-79.1943534
M1C,43.7857399,-79.1564549
M1E,43.7635726,-79.1887115
M1G,43.755241,-79.221126
M1H,43.770981,-79.238007
M1J,43.740852,-79.238945
M1K,43.7057478,-79.2634449
M1L,43.7111117,-79.2845772
M1M,43.722311,-79.228249
M1N,43.677268,-79.2799559
M1P,43.766054,-79.274831
M1R,43.7736449,-79.2713662
M1S,43.794194,-79.265547
M1T,43.7936554,-79.2398108
M1V,43.819173,-79.281752
M1W,43.800983,-79.319534
M1X,43.8361247,-79.2056361
M2H,43.801874,-79.344606
M2J,43.7785175,-79.3465557
M2K,43.777037,-79.383405
M2L,43.7469396,-79.3839458
M2M,43.864694,-79.450265
M2N,43.767981,-79.41266
M2P,43.744341,-79.402699
M2R,43.764586,-79.4372085
M3A,43.752554,-79.331891
M3B,43.7459058,-79.352188
M3C,43.712206,-79.323763
M3H,43.7518046,-79.4572919
M3J,43.7680689,-79.50312
M3K,43.7348677,-79.4784558
M3L,43.7305772,-79.5181884
M3M,43.69868,-79.495195
M3N,43.738617,-79.516691
M4A,43.71749,-79.31128
M4B,43.7159241,-79.3128716
M4C,43.6920127,-79.3120913
M4E,43.687619,-79.291484
M4G,43.707569,-79.368045
M4H,43.705608,-79.343407
M4J,43.672375,-79.338498
M4K,43.666985,-79.353088
M4L,43.663675,-79.32021
M4M,43.664834,-79.3412939
M4N,43.7167627,-79.3997039
M4P,43.708346,-79.389668
M4R,43.713633,-79.405978
M4S,43.7055796,-79.38696
M4T,43.682718,-79.388037
M4V,43.637203,-79.400696
M4W,43.6766609,-79.3894021
M4X,43.664808,-79.3695015
M4Y,43.6658599,-79.3831599
M5A,43.6542599,-79.3606359
M5B,43.6602701,-79.3786838
M5C,43.649866,-79.373975
M5E,43.6447708,-79.3733064
M5G,43.6587,-79.390336
M5H,43.649221,-79.378076
M5J,43.6408157,-79.3817523
M5K,43.650175,-79.375437
M5L,43.649279,-79.382302
M5M,43.724562,-79.404722
M5N,43.702154,-79.420065
M5P,43.698033,-79.404022
M5R,43.6708856,-79.3924169
M5S,43.6642118,-79.3956513
M5T,43.653338,-79.397234
M5V,43.645443,-79.388442
M5W,43.6464352,-79.374846
M5X,43.649343,-79.382302
M6A,43.724054,-79.450696
M6B,43.7014675,-79.4448505
M6C,43.69846,-79.438896
M6E,43.6979551,-79.457724
M6G,43.655966,-79.410139
M6H,43.6690051,-79.4422593
M6J,43.6479267,-79.4197497
M6K,43.640732,-79.41473
M6L,43.706278,-79.488057
M6M,43.696127,-79.485149
M6N,43.6731853,-79.4872619
M6P,43.654944,-79.458892
M6R,43.638229,-79.453595
M6S,43.6500844,-79.481051
M7A,43.6623015,-79.3894938
M7Y,43.664252,-79.313696
M8V,43.60695,-79.500145
M8W,43.6115724,-79.54487
M8X,43.6536536,-79.5069436
M8Y,43.617599,-79.498184
M8Z,43.635435,-79.5277115
M9A,43.64282,-79.532247
M9B,43.652277,-79.551904
M9C,43.6108765,-79.5616171
M9L,43.753892,-79.565213
M9M,43.750964,-79.547673
M9N,43.695749,-79.510415
M9P,43.683307,-79.530562
M9R,43.682191,-79.541284
M9V,43.734177,-79.558442
M9W,43.756817,-79.608199
